Марка,Модель,Комплектация,Топливо,Объем двигателя,Лошадиные силы,КПП,Степени КПП,Привод,Смешанные расход,Расход в городе,Расход по трассе,Время до 100 км\ч,Год производства,Цена
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Design Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 564 280
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Sport Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 961 768
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Sport Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 961 768
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Sport Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 961 768
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Sport Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 961 768
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Sport Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 961 768
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Sport Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 841 000
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Sport Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 841 000
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Sport Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 900 000
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Sport Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 985 000
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Sport Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,3 084 800
Audi,A3 Sedan,Audi Новый A3 Sedan 35 TFSI Sport Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,2 736 430
Audi,A3 Sportback,Audi Новый A3 Sportback 35 TFSI Хэтчбек,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,3 017 295
Audi,A3 Sportback,Audi Новый A3 Sportback 35 TFSI Design Хэтчбек,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,3 026 500
Audi,A4,Audi A4 35 TFSI S tronic Advance Седан,Бензин,1.4,150,Автомат,8,Передний,4.8,5.9,4.1,8.2,2021,3 161 668
Audi,A4,Audi A4 35 TFSI S tronic Advance Седан,Бензин,2.0,150,Робот,7,Передний,5.9,7.5,5,8.9,2021,3 129 813
Audi,A4,Audi A4 35 TFSI S tronic Advance Седан,Бензин,2.0,150,Робот,7,Передний,5.9,7.5,5,8.9,2021,3 078 492
Audi,A4,Audi A4 35 TFSI S tronic Advance Седан,Бензин,2.0,150,Робот,7,Передний,5.9,7.5,5,8.9,2021,2 955 001
Audi,A4,Audi A4 35 TFSI S tronic Advance Седан,Бензин,2.0,150,Робот,7,Передний,5.9,7.5,5,8.9,2021,3 078 800
Audi,A4,Audi A4 35 TFSI S tronic Advance Седан,Бензин,2.0,150,Робот,7,Передний,5.9,7.5,5,8.9,2021,3 099 300
Audi,A4,Audi A4 35 TFSI S tronic Advance Седан,Бензин,2.0,150,Робот,7,Передний,5.9,7.5,5,8.9,2021,2 855 000
Audi,A4,Audi A4 35 TFSI S tronic Advance Седан,Бензин,2.0,150,Робот,7,Передний,5.9,7.5,5,8.9,2021,3 095 000
Audi,A4,Audi A4 35 TFSI S tronic Sport Седан,Бензин,2.0,150,Робот,7,Передний,5.9,7.5,5,8.9,2021,3 365 234
Audi,A4,Audi A4 35 TFSI S tronic Sport Седан,Бензин,2.0,150,Робот,7,Передний,5.9,7.5,5,8.9,2021,3 365 234
Audi,A4,Audi A4 35 TFSI S tronic Sport Седан,Бензин,2.0,150,Робот,7,Передний,5.9,7.5,5,8.9,2021,3 348 300
Audi,A4,Audi A4 35 TFSI S tronic Sport Седан,Бензин,2.0,150,Робот,7,Передний,5.9,7.5,5,8.9,2021,3 388 932
Audi,A4,Audi A4 35 TFSI S tronic Sport Седан,Бензин,2.0,150,Робот,7,Передний,5.9,7.5,5,8.9,2021,3 421 507
Audi,A4,Audi A4 35 TFSI S tronic Sport Седан,Бензин,2.0,150,Робот,7,Передний,5.9,7.5,5,8.9,2021,2 985 000
Audi,A4,Audi A4 35 TFSI S tronic Sport Седан,Бензин,2.0,150,Робот,7,Передний,5.9,7.5,5,8.9,2021,3 503 660
Audi,A4,Audi A4 35 TFSI S tronic Design Седан,Бензин,2.0,150,Робот,7,Передний,5.9,7.5,5,8.9,2021,3 751 843
Audi,A4,Audi A4 40 TFSI S tronic Sport Седан,Бензин,2.0,150,Робот,7,Передний,5.9,7.5,5,8.9,2021,3 495 000
Audi,A4,Audi A4 40 TFSI S tronic Sport Седан,Бензин,2.0,150,Робот,7,Передний,5.9,7.5,5,8.9,2021,3 495 235
Audi,A4,Audi A4 40 TFSI S tronic Sport Седан,Бензин,2.0,190,Робот,7,Передний,5.9,7.3,5.1,7.1,2021,3 576 081
Audi,A4,Audi A4 40 TFSI S tronic Sport Седан,Бензин,2.0,190,Робот,7,Передний,5.9,7.3,5.1,7.1,2021,3 577 000
Audi,A4,Audi A4 40 TFSI S tronic Sport Седан,Бензин,2.0,190,Робот,7,Передний,5.9,7.3,5.1,7.1,2021,3 698 200
Audi,A4,Audi A4 40 TFSI S tronic Sport Седан,Бензин,2.0,190,Робот,7,Передний,5.9,7.3,5.1,7.1,2021,3 256 320
Audi,A4,Audi A4 40 TFSI S tronic Sport Седан,Бензин,2.0,190,Робот,7,Передний,5.9,7.3,5.1,7.1,2021,3 810 000
Audi,A4,Audi A4 45 TFSI S tronic Sport Седан,Бензин,2.0,190,Робот,7,Передний,5.9,7.3,5.1,7.1,2021,3 810 000
Audi,A4,Audi A4 45 TFSI S tronic Sport Седан,Бензин,2.0,190,Робот,7,Передний,5.9,7.3,5.1,7.1,2021,3 810 000
Audi,A4,Audi A4 45 TFSI S tronic Sport Седан,Бензин,2.0,190,Робот,7,Передний,5.9,7.3,5.1,7.1,2021,4 169 958
Audi,A4,Audi A4 45 TFSI S tronic Sport Седан,Бензин,2.0,249,Робот,7,Полный,7.1,9.2,5.9,5.8,2021,4 398 130
Audi,A4,Audi A4 45 TFSI S tronic Sport Седан,Бензин,2.0,249,Робот,7,Полный,7.1,9.2,5.9,5.8,2021,4 320 787
Audi,A4,Audi A4 45 TFSI S tronic Sport Седан,Бензин,2.0,249,Робот,7,Полный,7.1,9.2,5.9,5.8,2021,3 700 000
Audi,A4,Audi A4 45 TFSI S tronic Sport Седан,Бензин,2.0,249,Робот,7,Полный,7.1,9.2,5.9,5.8,2021,3 700 000
Audi,A4,Audi A4 45 TFSI S tronic Sport Седан,Бензин,2.0,249,Робот,7,Полный,7.1,9.2,5.9,5.8,2021,3 700 000
Audi,A4,Audi A4 45 TFSI S tronic Design Седан,Бензин,2.0,249,Робот,7,Полный,7.1,9.2,5.9,5.8,2021,4 169 761
Audi,A4,Audi A4 45 TFSI S tronic Design Седан,Бензин,2.0,249,Робот,7,Полный,7.1,9.2,5.9,5.8,2021,4 018 476
Audi,A4,Audi A4 45 TFSI S tronic Design Седан,Бензин,2.0,249,Робот,7,Полный,7.1,9.2,5.9,5.8,2021,4 474 780
Audi,A4,Audi A4 45 TFSI S tronic Design Седан,Бензин,2.0,249,Робот,7,Полный,7.1,9.2,5.9,5.8,2021,3 798 825
Audi,A4,Audi A4 45 TFSI S tronic Design Седан,Бензин,2.0,249,Робот,7,Полный,7.1,9.2,5.9,5.8,2021,4 380 300
Audi,A4,Audi A4 allroad 40 TFSI S tronic Универсал,Бензин,2.0,249,Робот,7,Полный,7.1,9.2,5.9,5.8,2021,4 512 685
Audi,A5 Coupé,Audi A5 Coupé 45 TFSI S tronic Купе,Бензин,2.0,249,Робот,7,Полный,7.1,9.2,5.9,5.8,2021,4 988 100
Audi,A5 Coupé,Audi A5 Coupé 45 TFSI S tronic Купе,Бензин,2.0,249,Робот,7,Полный,7.1,9.2,5.9,5.8,2021,4 134 056
Audi,A5 Coupé,Audi A5 Coupé 45 TFSI S tronic Купе,Бензин,2.0,249,Робот,7,Полный,7.2,9.2,6.1,5.8,2021,4 442 703
Audi,A5 Coupé,Audi A5 Coupé 45 TFSI S tronic Купе,Бензин,2.0,249,Робот,7,Полный,7.2,9.2,6,5.8,2021,4 176 123
Audi,A5 Coupé,Audi A5 Coupé 40 TFSI Sport Купе,Бензин,2.0,249,Робот,7,Полный,7.2,9.2,6,5.8,2021,4 154 999
Audi,A5 Sportback,Audi A5 Sportback 45 TFSI S tronic Лифтбек,Бензин,2.0,249,Робот,7,Полный,7.2,9.2,6,5.8,2021,3 870 000
Audi,A5 Sportback,Audi A5 Sportback 45 TFSI S tronic Лифтбек,Бензин,2.0,249,Робот,7,Полный,7.2,9.2,6,5.8,2021,3 870 000
Audi,A6,Audi A6 40 TFSI Седан,Бензин,2.0,190,Робот,7,Передний,5.9,7.3,5.1,7.3,2021,3 870 000
Audi,A6,Audi A6 40 TFSI Седан,Бензин,2.0,249,Робот,7,Полный,7.2,9.2,6,6,2021,3 870 000
Audi,A6,Audi A6 40 TFSI Седан,Бензин,2.0,249,Робот,7,Полный,7.2,9.2,6,6,2021,3 870 000
Audi,A6,Audi A6 40 TFSI Седан,Бензин,2.0,190,Робот,7,Передний,5.8,7.4,5,7.9,2021,3 870 000
Audi,A6,Audi A6 40 TFSI Седан,Бензин,2.0,190,Робот,7,Передний,5.8,7.4,5,7.9,2021,3 870 000
Audi,A6,Audi A6 40 TFSI Седан,Бензин,2.0,190,Робот,7,Передний,5.8,7.4,5,7.9,2021,3 870 000
Audi,A6,Audi A6 40 TFSI Седан,Бензин,2.0,190,Робот,7,Передний,5.8,7.4,5,7.9,2021,4 280 020
Audi,A6,Audi A6 40 TFSI Седан,Бензин,2.0,190,Робот,7,Передний,5.8,7.4,5,7.9,2021,4 079 425
Audi,A6,Audi A6 40 TFSI Седан,Бензин,2.0,190,Робот,7,Передний,5.8,7.4,5,7.9,2021,4 280 020
Audi,A6,Audi A6 40 TFSI Седан,Бензин,2.0,190,Робот,7,Передний,5.8,7.4,5,7.9,2021,4 405 957
Audi,A6,Audi A6 40 TFSI Седан,Бензин,2.0,190,Робот,7,Передний,5.8,7.4,5,7.9,2021,4 469 586
Audi,A6,Audi A6 40 TFSI Седан,Бензин,2.0,190,Робот,7,Передний,5.8,7.4,5,7.9,2021,4 469 586
Audi,A6,Audi A6 40 TFSI Седан,Бензин,2.0,190,Робот,7,Передний,5.8,7.4,5,7.9,2021,4 280 020
Audi,A6,Audi A6 40 TFSI Седан,Бензин,2.0,190,Робот,7,Передний,5.8,7.4,5,7.9,2021,4 405 957
Audi,A6,Audi A6 40 TFSI Седан,Бензин,2.0,190,Робот,7,Передний,5.8,7.4,5,7.9,2021,4 155 000
Audi,A6,Audi A6 40 TFSI Седан,Бензин,2.0,190,Робот,7,Передний,5.8,7.4,5,7.9,2021,4 177 100
Audi,A6,Audi A6 40 TFSI Седан,Бензин,2.0,190,Робот,7,Передний,5.8,7.4,5,7.9,2021,4 280 500
Audi,A6,Audi A6 40 TFSI Седан,Бензин,2.0,190,Робот,7,Передний,5.8,7.4,5,7.9,2021,4 297 300
Audi,A6,Audi A6 40 TFSI Седан,Бензин,2.0,190,Робот,7,Передний,5.8,7.4,5,7.9,2021,4 302 336
Audi,A6,Audi A6 40 TFSI Седан,Бензин,2.0,190,Робот,7,Передний,5.8,7.4,5,7.9,2021,4 342 300
Audi,A6,Audi A6 40 TFSI Седан,Бензин,2.0,190,Робот,7,Передний,5.8,7.4,5,7.9,2021,4 407 300
Audi,A6,Audi A6 40 TFSI Седан,Бензин,2.0,190,Робот,7,Передний,5.8,7.4,5,7.9,2021,4 418 200
Audi,A6,Audi A6 40 TFSI Седан,Бензин,2.0,190,Робот,7,Передний,5.8,7.4,5,7.9,2021,3 848 300
Audi,A6,Audi A6 40 TFSI Седан,Бензин,2.0,190,Робот,7,Передний,5.8,7.4,5,7.9,2021,4 538 941
Audi,A6,Audi A6 40 TFSI Седан,Бензин,2.0,190,Робот,7,Передний,5.8,7.4,5,7.9,2021,4 322 614
Audi,A6,Audi A6 40 TDI Седан,Бензин,2.0,190,Робот,7,Передний,5.8,7.4,5,7.9,2021,4 307 300
Audi,A6,Audi A6 40 TDI Седан,Бензин,2.0,190,Робот,7,Передний,5.8,7.4,5,7.9,2021,4 120 000
Audi,A6,Audi A6 40 TDI Седан,Бензин,2.0,190,Робот,7,Передний,5.8,7.4,5,7.9,2021,4 120 000
Audi,A6,Audi A6 40 TDI Седан,Дизель,2.0,190,Робот,7,Передний,5.7,6.5,5,8.4,2021,4 180 300
Audi,A6,Audi A6 40 TDI Седан,Дизель,2.0,190,Робот,7,Передний,5.7,6.5,5,8.4,2021,4 197 200
Audi,A6,Audi A6 40 TDI Седан,Дизель,2.0,190,Робот,7,Передний,5.7,6.5,5,8.4,2021,4 197 200
Audi,A6,Audi A6 40 TDI Седан,Дизель,2.0,190,Робот,7,Передний,5.7,6.5,5,8.4,2021,4 307 300
Audi,A6,Audi A6 40 TDI Седан,Дизель,2.0,190,Робот,7,Передний,5.7,6.5,5,8.4,2021,4 705 200
Audi,A6,Audi A6 40 TDI Седан,Дизель,2.0,190,Робот,7,Передний,5.7,6.5,5,8.4,2021,4 868 200
Audi,A6,Audi A6 40 TDI Седан,Дизель,2.0,190,Робот,7,Передний,5.7,6.5,5,8.4,2021,3 870 000
Audi,A6,Audi A6 40 TDI Седан,Дизель,2.0,190,Робот,7,Передний,5.7,6.5,5,8.4,2021,4 414 999
Audi,A6,Audi A6 40 TDI Седан,Дизель,2.0,190,Робот,7,Передний,5.7,6.5,5,8.4,2021,4 414 999
Audi,A6,Audi A6 Advance Седан,Дизель,2.0,190,Робот,7,Передний,5.7,6.5,5,8.4,2021,4 421 929
Audi,A6,Audi A6 Advance Седан,Дизель,2.0,190,Робот,7,Передний,5.7,6.5,5,8.4,2021,4 299 999
Audi,A6,Audi A6 Advance Седан,Дизель,2.0,190,Робот,7,Передний,5.7,6.5,5,8.4,2021,4 608 849
Audi,A6,Audi A6 Advance Седан,Бензин,2.0,245,Робот,7,Полный,6.8,8.5,5.8,6,2021,4 608 849
Audi,A6,Audi A6 Advance Седан,Бензин,2.0,245,Робот,7,Полный,6.8,8.5,5.8,6,2021,4 614 223
Audi,A6,Audi A6 Advance Седан,Бензин,2.0,245,Робот,7,Полный,6.8,8.5,5.8,6,2021,4 442 432
Audi,A6,Audi A6 Advance Седан,Бензин,2.0,245,Робот,7,Полный,6.8,8.5,5.8,6,2021,4 862 100
Audi,A6,Audi A6 Advance Седан,Бензин,2.0,245,Робот,7,Полный,6.8,8.5,5.8,6,2021,4 420 000
Audi,A6,Audi A6 Advance Седан,Бензин,2.0,245,Робот,7,Полный,6.8,8.5,5.8,6,2021,4 420 000
Audi,A6,Audi A6 Advance Седан,Бензин,2.0,245,Робот,7,Полный,6.8,8.5,5.8,6,2021,4 729 312
Audi,A6,Audi A6 Advance Седан,Бензин,2.0,245,Робот,7,Полный,6.8,8.5,5.8,6,2021,4 729 312
Audi,A6,Audi A6 Sport Sport Седан,Бензин,2.0,245,Робот,7,Полный,6.8,8.5,5.8,6,2021,4 729 312
Audi,A6,Audi A6 Sport Sport Седан,Бензин,2.0,245,Робот,7,Полный,6.8,8.5,5.8,6,2021,4 615 000
Audi,A6,Audi A6 Sport Sport Седан,Бензин,2.0,245,Робот,7,Полный,6.8,8.5,5.8,6,2021,4 729 312
Audi,A6,Audi A6 Sport Sport Седан,Бензин,2.0,245,Робот,7,Полный,6.8,8.5,5.8,6,2021,4 615 000
Audi,A6,Audi A6 Sport Sport Седан,Бензин,2.0,245,Робот,7,Полный,6.8,8.5,5.8,6,2021,4 729 700
Audi,A6,Audi A6 Sport Sport Седан,Бензин,2.0,245,Робот,7,Полный,6.8,8.5,5.8,6,2021,4 728 100
Audi,A6,Audi A6 Sport Sport Седан,Бензин,2.0,245,Робот,7,Полный,6.8,8.5,5.8,6,2021,4 795 000
Audi,A6,Audi A6 Sport Sport Седан,Бензин,2.0,245,Робот,7,Полный,6.8,8.5,5.8,6,2021,4 420 000
Audi,A6,Audi A6 Sport Sport Седан,Бензин,2.0,245,Робот,7,Полный,6.8,8.5,5.8,6,2021,5 965 200
Audi,A6,Audi A6 Sport Sport Седан,Бензин,2.0,245,Робот,7,Полный,6.8,8.5,5.8,6,2021,6 903 497
Audi,A6,Audi A6 Sport Sport Седан,Бензин,2.0,245,Робот,7,Полный,6.8,8.5,5.8,6,2021,5 757 600
Audi,A6,Audi A6 Sport Sport Седан,Бензин,2.0,245,Робот,7,Полный,6.8,8.5,5.8,6,2021,6 074 157
Audi,A6,Audi A6 Design Design Седан,Бензин,2.0,245,Робот,7,Полный,6.8,8.5,5.8,6,2021,6 232 000
Audi,A6,Audi A6 Design Design Седан,Бензин,2.0,245,Робот,7,Полный,6.8,8.5,5.8,6,2021,6 258 000
Audi,A6,Audi A6 45 TDI Design Седан,Бензин,2.0,245,Робот,7,Полный,6.8,8.5,5.8,6,2021,6 258 000
Audi,A7 Sportback,Audi A7 Sportback 45 TFSI quattro S tronic Лифтбек,Бензин,2.0,245,Робот,7,Полный,6.8,8.5,5.8,6,2021,6 310 000
Audi,A7 Sportback,Audi A7 Sportback 45 TFSI quattro S tronic Лифтбек,Бензин,2.0,245,Робот,7,Полный,6.8,8.5,5.8,6,2021,6 421 000
Audi,A7 Sportback,Audi A7 Sportback 45 TFSI quattro S tronic Лифтбек,Дизель,3.0,249,Автомат,8,Полный,6.6,8.8,5.8,6.1,2021,6 529 000
Audi,A7 Sportback,Audi A7 Sportback 45 TFSI quattro S tronic Лифтбек,Бензин,2.0,249,Робот,7,Полный,6.8,8.5,5.8,6.2,2021,6 588 000
Audi,A7 Sportback,Audi A7 Sportback 45 TFSI quattro S tronic Лифтбек,Бензин,2.0,249,Робот,7,Полный,6.8,8.5,5.8,6.2,2021,6 772 000
Audi,A7 Sportback,Audi A7 Sportback 45 TFSI quattro S tronic Лифтбек,Бензин,2.0,249,Робот,7,Полный,6.8,8.5,5.8,6.2,2021,9 507 169
Audi,A7 Sportback,Audi A7 Sportback 45 TFSI quattro S tronic Лифтбек,Бензин,2.0,249,Робот,7,Полный,6.8,8.5,5.8,6.2,2021,9 217 700
Audi,A7 Sportback,Audi A7 Sportback 45 TFSI quattro S tronic Лифтбек,Бензин,2.0,249,Робот,7,Полный,6.8,8.5,5.8,6.2,2021,10 089 535
Audi,A7 Sportback,Audi A7 Sportback 45 TFSI quattro S tronic Лифтбек,Бензин,2.0,249,Робот,7,Полный,6.8,8.5,5.8,6.2,2021,10 653 680
Audi,A7 Sportback,Audi A7 Sportback 45 TFSI quattro S tronic Лифтбек,Бензин,2.0,249,Робот,7,Полный,6.8,8.5,5.8,6.2,2021,10 363 250
Audi,A8,Audi A8 Long 	55 TFSI quattro tiptronic Седан,Бензин,2.0,249,Робот,7,Полный,6.8,8.5,5.8,6.2,2021,10 560 200
Audi,A8,Audi A8 Long 	55 TFSI quattro tiptronic Седан,Бензин,2.0,249,Робот,7,Полный,6.8,8.5,5.8,6.2,2021,12 639 600
Audi,A8,Audi A8 Long 	55 TFSI quattro tiptronic Седан,Бензин,2.0,249,Робот,7,Полный,6.8,8.5,5.8,6.2,2021,3 200 000
Audi,A8,Audi A8 Long 	55 TFSI quattro tiptronic Седан,Бензин,3.0,340,Автомат,8,Полный,7.8,10.3,6.4,5.7,2021,3 398 445
Audi,A8,Audi A8 Long 45 TDI quattro tiptronic Седан,Бензин,3.0,340,Автомат,8,Полный,7.8,10.3,6.4,5.7,2021,3 623 000
Audi,A8,Audi A8 45 TDI quattro tiptronic Седан,Бензин,3.0,340,Автомат,8,Полный,7.8,10.3,6.4,5.7,2021,3 678 730
Audi,A8,Audi A8 60 TFSI Седан,Бензин,3.0,340,Автомат,8,Полный,7.8,10.3,6.4,5.7,2021,3 903 757
Audi,Q3 Sportback,Audi Q3 Sportback 35 TFSI S tronic Advance Внедорожник,Дизель,3.0,249,Автомат,8,Полный,7.3,8.9,6.3,6.6,2021,4 066 795
Audi,Q3 Sportback,Audi Q3 Sportback 35 TFSI S tronic Advance Внедорожник,Дизель,3.0,249,Автомат,8,Полный,7.3,8.9,6.3,6.6,2021,4 091 925
Audi,Q3 Sportback,Audi Q3 Sportback 40 TFSI Sport Внедорожник,Бензин,4.0,460,Автомат,8,Полный,10.1,13.8,7.9,4.4,2021,4 364 212
Audi,Q3 Sportback,Audi Q3 Sportback 40 TFSI Sport Внедорожник,Бензин,1.4,150,Робот,6,Передний,5.9,6.9,5.3,9.2,2021,3 981 884
Audi,Q3 Sportback,Audi Q3 Sportback 40 TFSI Sport Внедорожник,Бензин,1.4,150,Робот,6,Передний,5.9,6.9,5.3,9.2,2021,4 189 969
Audi,Q3 Sportback,Audi Q3 Sportback 40 TFSI Sport Внедорожник,Бензин,2.0,180,Робот,7,Полный,7.5,9.5,6.4,7.4,2021,4 191 818
Audi,Q3 Sportback,Audi Q3 Sportback 40 TFSI Sport Внедорожник,Бензин,2.0,180,Робот,7,Полный,7.5,9.5,6.4,7.4,2021,3 439 552
Audi,Q3 Sportback,Audi Q3 Sportback 40 TFSI Sport Внедорожник,Бензин,2.0,180,Робот,7,Полный,7.5,9.5,6.4,7.4,2021,3 485 564
Audi,Q3 Sportback,Audi Q3 Sportback 40 TFSI Sport Внедорожник,Бензин,2.0,180,Робот,7,Полный,7.5,9.5,6.4,7.4,2021,3 663 779
Audi,Q3 Sportback,Audi Q3 Sportback 40 TFSI Sport Внедорожник,Бензин,2.0,180,Робот,7,Полный,7.5,9.5,6.4,7.4,2021,3 654 043
Audi,Q3 Sportback,Audi Q3 Sportback 40 TFSI S tronic Внедорожник,Бензин,2.0,180,Робот,7,Полный,7.5,9.5,6.4,7.4,2021,3 654 043
Audi,Q3,Audi Q3 40 TFSI S tronic Design Внедорожник,Бензин,2.0,180,Робот,7,Полный,7.5,9.5,6.4,7.4,2021,3 617 768
Audi,Q3,Audi Q3 40 TFSI S tronic Design Внедорожник,Бензин,2.0,180,Робот,7,Полный,7.5,9.5,6.4,7.4,2021,3 617 768
Audi,Q3,Audi Q3 40 TFSI S tronic Design Внедорожник,Бензин,2.0,180,Робот,7,Полный,7.5,9.5,6.4,7.4,2021,3 548 117
Audi,Q3,Audi Q3 40 TFSI S tronic Design Внедорожник,Бензин,2.0,180,Робот,7,Полный,7.5,9.5,6.4,7.4,2021,3 200 000
Audi,Q3,Audi Q3 40 TFSI S tronic Design Внедорожник,Бензин,2.0,180,Робот,7,Полный,7.5,9.5,6.4,7.4,2021,3 451 406
Audi,Q3,Audi Q3 40 TFSI S tronic Design Внедорожник,Бензин,2.0,180,Робот,7,Полный,7.5,9.5,6.4,7.4,2021,3 349 552
Audi,Q3,Audi Q3 40 TFSI S tronic Design Внедорожник,Бензин,2.0,180,Робот,7,Полный,7.5,9.5,6.4,7.4,2021,3 569 552
Audi,Q3,Audi Q3 40 TFSI S tronic Внедорожник,Бензин,2.0,180,Робот,7,Полный,7.5,9.5,6.4,7.4,2021,3 738 000
Audi,Q3,Audi Q3 40 TFSI S tronic Внедорожник,Бензин,2.0,180,Робот,7,Полный,7.5,9.5,6.4,7.4,2021,3 548 540
Audi,Q3,Audi Q3 40 TFSI S tronic Внедорожник,Бензин,2.0,180,Робот,7,Полный,7.5,9.5,6.4,7.4,2021,3 569 551
Audi,Q3,Audi Q3 40 TFSI S tronic Внедорожник,Бензин,2.0,180,Робот,7,Полный,7.5,9.5,6.4,7.4,2021,3 684 940
Audi,Q3,Audi Q3 40 TFSI S tronic Sport Внедорожник,Бензин,2.0,180,Робот,7,Полный,7.5,9.5,6.4,7.4,2021,3 869 442
